episode,step,time,label,x0,dx0,u0,x1,dx1,u1,x2,dx2,u2,x3,dx3,u3,x4,dx4,u4
0,0,0.0,passive,0.13823367682591442,0.18546432371813443,0.0,0.32864725740046336,-0.17303180424041137,0.0,0.13217483047335485,-0.16336675859030966,0.0,-0.5212628926417444,-0.12631352443208446,0.0,0.3621423466692471,0.10115348405430484,0.0
0,1,0.05,passive,0.14973876587364118,0.17622632849305453,0.0,0.3173109010116414,-0.16817811449418868,0.0,0.12691208306482113,-0.1572321111963884,0.0,-0.5257557068824182,-0.12978573490311493,0.0,0.36867068335524,0.10593840028616988,0.0
0,2,0.1,passive,0.15869219350487287,0.1715655597720723,0.0,0.3116355602199942,-0.15872397061468568,0.0,0.11536820706999337,-0.15316625379542798,0.0,-0.5330595433675392,-0.13033351873830906,0.0,0.3715570068061486,0.11012134803319279,0.0
0,3,0.15000000000000002,passive,0.17026470255664963,0.16518278601046604,0.0,0.3038979722266682,-0.15103862578790606,0.0,0.10624761062539653,-0.1488708670920008,0.0,-0.5434857616162388,-0.1311622472092698,0.0,0.3757771130047139,0.11540020878112321,0.0
0,4,0.2,passive,0.17856455275976466,0.15779399684184436,0.0,0.2949680264107761,-0.1497228492745489,0.0,0.10527438634278753,-0.14411272546493767,0.0,-0.5450102524001733,-0.1257777270099843,0.0,0.36799131104894023,0.12151922070963099,0.0
0,5,0.25,passive,0.1770091863720185,0.15087814757980506,0.0,0.28660802348677283,-0.1418388300621385,0.0,0.09595779801165888,-0.14611002164308018,0.0,-0.5502309237631794,-0.1294972846831943,0.0,0.37515388173953457,0.11913553326609715,0.0
0,6,0.30000000000000004,passive,0.195142287526264,0.14026278315952245,0.0,0.2739559781702045,-0.13378905751697504,0.0,0.08676427189386987,-0.13239025350522454,0.0,-0.5464919299598774,-0.13618218657923295,0.0,0.38434417338384863,0.1267692545904407,0.0
0,7,0.35000000000000003,passive,0.20547074354612144,0.1324540645093745,0.0,0.26469649343591845,-0.12142943648791299,0.0,0.07190438336433037,-0.12668045248983373,0.0,-0.5524637155677253,-0.13952462375400726,0.0,0.3912277065524784,0.13072341247930944,0.0
0,8,0.4,passive,0.2059566865003673,0.1244646893419818,0.0,0.25520888830261995,-0.11554507584409407,0.0,0.06521014234120255,-0.13005210702457642,0.0,-0.5641637048707296,-0.14122145570906422,0.0,0.3972725273371828,0.12965478380109463,0.0
0,9,0.45,passive,0.2126573361048137,0.11969664733471576,0.0,0.24960956569569268,-0.10802010725544525,0.0,0.05617607869840216,-0.12648307669089498,0.0,-0.5682560372972537,-0.1474528498491041,0.0,0.4082111012986492,0.13077675053786608,0.0
