round,passive_test_mse,active_test_mse,passive_graph_f1,active_graph_f1,active_target
0,0.010761001070540876,0.030450302015632084,1.0,0.923076923076923,0
1,0.002394224652959226,0.0020045382894337744,1.0,0.923076923076923,1
2,0.0023961445316541875,0.0007072868519572925,1.0,1.0,0
3,0.0012141618145520767,0.00141393995411058,1.0,1.0,0
4,0.0009587199266016932,0.0011624528621629823,1.0,1.0,1
5,0.0013132679882223426,0.0011935631237738101,1.0,1.0,1
6,0.0013006852060718959,0.0012393654978689228,1.0,1.0,1
7,0.0011920579563107518,0.0009458255485830439,1.0,1.0,1
