episode,step,time,label,x0,dx0,u0,x1,dx1,u1,x2,dx2,u2,x3,dx3,u3,x4,dx4,u4
0,0,0.0,true_test,0.0756213527174132,-0.28551187823871294,0.0,-0.2090993765922989,0.09182557702980369,0.0,-0.1652254173567574,-0.3100216901900496,0.0,-0.9765869530559425,-0.2291406640800573,0.0,0.7198829530883608,-0.017610518262128255,0.0
0,1,0.05,true_test,0.06175823032689607,-0.2835472512163927,0.0,-0.20683018981557982,0.1035411666890128,0.0,-0.1804739265513867,-0.31914410756857886,0.0,-0.9846128321615389,-0.2225297221262383,0.0,0.7102184746473598,-0.022674545860780188,0.0
0,2,0.1,true_test,0.05600302577177398,-0.28105232397663615,0.0,-0.20394234567744804,0.11799889603753264,0.0,-0.1994132324028434,-0.3243664533945977,0.0,-1.000974156079263,-0.2198738546283499,0.0,0.7137437074682947,-0.02674809493133937,0.0
0,3,0.15000000000000002,true_test,0.0453253119908402,-0.2705553549804325,0.0,-0.19182019486656088,0.1263504710489487,0.0,-0.21116611796145554,-0.33206657717245963,0.0,-1.0106528240981614,-0.21744072241586246,0.0,0.7140488919644736,-0.03268540070960902,0.0
0,4,0.2,true_test,0.03647376271219292,-0.2688787338748358,0.0,-0.1898907362801218,0.13908224600614846,0.0,-0.22799892726200305,-0.33786505065093225,0.0,-1.0196155015180282,-0.213209550873044,0.0,0.7101519270572142,-0.03652944391792308,0.0
0,5,0.25,true_test,0.026638150426466747,-0.26436374208142743,0.0,-0.18469744101612423,0.1490478883178514,0.0,-0.24152819467174888,-0.34481960034018994,0.0,-1.029572862590525,-0.21074829201705883,0.0,0.7106382582763693,-0.04206028066795646,0.0
0,6,0.30000000000000004,true_test,0.005831698748910229,-0.26162015788703846,0.0,-0.181546534336411,0.1567992555944196,0.0,-0.25204633081164024,-0.35912966393649287,0.0,-1.0392198455871913,-0.2069408345990268,0.0,0.7081286528138268,-0.05284712777757104,0.0
0,7,0.35000000000000003,true_test,-0.0024308054277426897,-0.2515010762354213,0.0,-0.16995212701625106,0.16977783464289992,0.0,-0.2702366070367139,-0.36517992556464995,0.0,-1.052782291767258,-0.20657610595695808,0.0,0.7152909705610997,-0.05925860239336867,0.0
0,8,0.4,true_test,-0.011552256978510195,-0.2509512314465073,0.0,-0.1693235108408039,0.18017099809701648,0.0,-0.28429827597187723,-0.3708171319110428,0.0,-1.0592687070020916,-0.20529666613438452,0.0,0.7163976294735916,-0.0645643628230092,0.0
0,9,0.45,true_test,-0.02611929281461478,-0.23659808986866612,0.0,-0.1529583046884096,0.19565430196167405,0.0,-0.30657912963879236,-0.37861640556158793,0.0,-1.063477861978977,-0.2033015429075808,0.0,0.7146323436450635,-0.072111960364898,0.0
0,10,0.5,true_test,-0.02946250282804333,-0.22969654174512716,0.0,-0.14511864872185842,0.2064546114910727,0.0,-0.3220278301065742,-0.3801791201019309,0.0,-1.0694187812882576,-0.19919188822026235,0.0,0.70940794224268,-0.07258709782175332,0.0
0,11,0.55,true_test,-0.04089106885314339,-0.22241571671885413,0.0,-0.13686893220577986,0.21796432287665857,0.0,-0.3386455696844957,-0.386934427585931,0.0,-1.0759356518592016,-0.19496162704645703,0.0,0.7043203073384608,-0.07754269495231056,0.0
0,12,0.6000000000000001,true_test,-0.05028217671154527,-0.21534885717236651,0.0,-0.1288801426639681,0.23312550624533357,0.0,-0.3605977853693511,-0.3940566854150277,0.0,-1.09529666749151,-0.18483114667300882,0.0,0.6945729613725826,-0.0801753983642767,0.0
0,13,0.65,true_test,-0.06441928816979493,-0.20452951459488933,0.0,-0.11668295356422666,0.24098046733868095,0.0,-0.3726989696770012,-0.403224196022572,0.0,-1.10319301707064,-0.18086371131684875,0.0,0.6910209962844583,-0.08701005512511069,0.0
0,14,0.7000000000000001,true_test,-0.07290625849437822,-0.20004572086641376,0.0,-0.11164137235612304,0.25453219189399734,0.0,-0.3926182791845279,-0.40872853597667663,0.0,-1.1165767725958105,-0.17350932247849,0.0,0.6838018906269904,-0.08980221856480744,0.0
0,15,0.75,true_test,-0.07272703895051079,-0.1804784187082174,0.0,-0.08967789877765259,0.2640474098813535,0.0,-0.4081689445065321,-0.4077874316192208,0.0,-1.1225372015649653,-0.17081659795873366,0.0,0.6818297728218974,-0.08919920733426358,0.0
0,16,0.8,true_test,-0.08657655419743165,-0.17428093209413553,0.0,-0.08275278265579976,0.27633287325314815,0.0,-0.42688471642652515,-0.4163094147852834,0.0,-1.133313997677703,-0.16358101798770408,0.0,0.6734862137727234,-0.09463859085562383,0.0
0,17,0.8500000000000001,true_test,-0.09569221279841776,-0.16223251429127009,0.0,-0.06929850448869528,0.28886054629505675,0.0,-0.44675407045053733,-0.4217343160746415,0.0,-1.1451910469700897,-0.15778347641978213,0.0,0.6688408237785176,-0.09842978184851567,0.0
0,18,0.9,true_test,-0.11000037635031305,-0.14375909579100235,0.0,-0.04872131571962352,0.2966678304483047,0.0,-0.4602447678519966,-0.4314613479145132,0.0,-1.1586022156918114,-0.1524047102593179,0.0,0.6660558712576092,-0.10551008733679457,0.0
0,19,0.9500000000000001,true_test,-0.11829320324581838,-0.12990739714134425,0.0,-0.03331934706856791,0.3096250792733802,0.0,-0.4815035730304985,-0.43434756667116087,0.0,-1.1602570101722536,-0.15066280059430415,0.0,0.6635467251894948,-0.10937678487055862,0.0
0,20,1.0,true_test,-0.129131160052474,-0.11560223297225371,0.0,-0.017437185610588907,0.3226443564496278,0.0,-0.5033087644151315,-0.4403165830653417,0.0,-1.1717812957236808,-0.14497141447741313,0.0,0.6590995765358496,-0.11412348253799745,0.0
0,21,1.05,true_test,-0.13502521841231768,-0.09495530800430692,0.0,0.005491402279475937,0.3357414741560422,0.0,-0.5262639556020198,-0.4418449690298034,0.0,-1.1768249019083608,-0.13489133658772373,0.0,0.6421540506913495,-0.11305468624192516,0.0
