model,train_mse,tp,fp,fn,tn,precision,recall,f1
dense_neural_ode,1.7289596705594539e-09,6,0,0,14,1.0,1.0,1.0
sparse_causal_neural_ode,0.0009474396637305468,6,0,0,14,1.0,1.0,1.0
